lens,rx_index,tx_index,freq_ghz,solver_a,solver_b,magnitude_difference_db,absolute_magnitude_difference_db,centered_shape_difference_db,absolute_centered_shape_difference_db,circular_phase_difference_deg,phase_difference_aligned_deg
without,3,2,38.0,HFSS Hybrid Solver,SIonna-RT,5.648277569368659,5.648277569368659,0.6401620509516235,0.6401620509516235,-4.595975760898828,-0.9078906720060083
without,3,2,39.0,HFSS Hybrid Solver,SIonna-RT,4.452602812633721,4.452602812633721,-0.5555127057833147,0.5555127057833147,-62.8322057884895,-59.144120699596684
without,3,3,37.0,HFSS Hybrid Solver,SIonna-RT,-0.903859417711601,0.903859417711601,0.8409973973133447,0.8409973973133447,127.95332761170454,79.91359975794549
without,3,3,38.0,HFSS Hybrid Solver,SIonna-RT,-1.2011947592627195,1.2011947592627195,0.5436620557622263,0.5436620557622263,47.36703712398209,-0.6726907297769529
without,3,3,39.0,HFSS Hybrid Solver,SIonna-RT,-3.1295162681005273,3.1295162681005273,-1.3846594530755816,1.3846594530755816,-31.201181174409527,-79.24090902816857
with,1,1,37.0,HFSS SBR+ Solver,SIonna-RT,3.300762178556411,3.300762178556411,1.3991051706977018,1.3991051706977018,-27.661876526083006,-39.995179873790526
with,1,1,38.0,HFSS SBR+ Solver,SIonna-RT,2.117231424312454,2.117231424312454,0.21557441645374453,0.21557441645374453,-111.47463880600958,-123.8079421537171
with,1,1,39.0,HFSS SBR+ Solver,SIonna-RT,0.28697742070724885,0.28697742070724885,-1.6146795871514605,1.6146795871514605,176.13642537521514,163.8031220275076
with,1,2,37.0,HFSS SBR+ Solver,SIonna-RT,7.007425118320299,7.007425118320299,4.083728388998665,4.083728388998665,104.05600948294313,68.87216114610278
with,1,2,38.0,HFSS SBR+ Solver,SIonna-RT,2.9666764908047725,2.9666764908047725,0.042979761483138645,0.042979761483138645,23.182198561708205,-12.001649775132137
with,1,2,39.0,HFSS SBR+ Solver,SIonna-RT,-1.2030114211601628,1.2030114211601628,-4.126708150481797,4.126708150481797,-21.68666303413031,-56.87051137097065
with,1,3,37.0,HFSS SBR+ Solver,SIonna-RT,5.077070427958716,5.077070427958716,4.9621248223444425,4.9621248223444425,101.62828831654942,63.410377254113996
with,1,3,38.0,HFSS SBR+ Solver,SIonna-RT,-0.24239413377723906,0.24239413377723906,-0.357339739391513,0.357339739391513,24.742752938352766,-13.475158124082661
with,1,3,39.0,HFSS SBR+ Solver,SIonna-RT,-4.489839477338656,4.489839477338656,-4.6047850829529295,4.6047850829529295,-11.717308067595916,-49.93521913003134
with,2,1,37.0,HFSS SBR+ Solver,SIonna-RT,11.197797119991847,11.197797119991847,2.348642182673416,2.348642182673416,-161.95742067884686,-163.12572804559923
with,2,1,38.0,HFSS SBR+ Solver,SIonna-RT,8.927161330492574,8.927161330492574,0.07800639317414237,0.07800639317414237,119.67190274267827,118.50359537592588
with,2,1,39.0,HFSS SBR+ Solver,SIonna-RT,6.42250636147088,6.42250636147088,-2.426648575847551,2.426648575847551,45.790440036425714,44.62213266967334
with,2,2,37.0,HFSS SBR+ Solver,SIonna-RT,0.47429134976647447,0.47429134976647447,-0.3573383797086471,0.3573383797086471,-40.73995522983353,-26.15410603334709
with,2,2,38.0,HFSS SBR+ Solver,SIonna-RT,1.0284760518141702,1.0284760518141702,0.19684632233904864,0.19684632233904864,-137.8711523016919,-123.28530310520546
with,2,2,39.0,HFSS SBR+ Solver,SIonna-RT,0.9921217868447201,0.9921217868447201,0.16049205736959848,0.16049205736959848,134.8535599420661,149.43940913855255
