"patch_W [mm]","Freq [GHz]","S(1,1) []"
3.1,35.625,-0.235730011086732 - 0.43661394861681i
3.1,35.6875,-0.251013394418221 - 0.413945433287707i
3.1,35.75,-0.264402322214701 - 0.390659472394729i
3.1,35.8125,-0.27585028730428 - 0.366914449883886i
3.1,35.875,-0.2853246573951 - 0.342875481595668i
3.1,35.9375,-0.292807854853002 - 0.318713147620267i
3.1,36,-0.298298424882539 - 0.294602009872331i
3.1,36.0625,-0.301811951675677 - 0.270718921255035i
3.1,36.125,-0.303381781028743 - 0.247241140745474i
3.1,36.1875,-0.303059508512369 - 0.224344277377693i
3.1,36.25,-0.300915194770651 - 0.202200095068532i
3.1,36.3125,-0.297037274102809 - 0.180974219076811i
3.1,36.375,-0.291532129209475 - 0.160823793089234i
3.1,36.4375,-0.284523313794005 - 0.141895142926911i
3.1,36.5,-0.276150415367591 - 0.124321508103193i
3.1,36.5625,-0.266567562723974 - 0.108220905421313i
3.1,36.625,-0.255941595580982 - 0.0936941890605836i
3.1,36.6875,-0.244449927161422 - 0.0808233688884475i
3.1,36.75,-0.232278143251462 - 0.0696702429635201i
3.1,36.8125,-0.219617392749583 - 0.0602753914836933i
3.1,36.875,-0.206661634160099 - 0.0526575681233144i
3.1,36.9375,-0.193604809252312 - 0.0468135113384114i
3.1,37,-0.180638018723273 - 0.0427181835115338i
3.1,37.0625,-0.167946774902597 - 0.040325430584439i
3.1,37.125,-0.155708403292765 - 0.039569039961289i
3.1,37.1875,-0.144089658259551 - 0.0403641608044541i
3.1,37.25,-0.133244608907676 - 0.0426090391403286i
3.1,37.3125,-0.123312839709662 - 0.0461870110384901i
3.1,37.375,-0.114417997537439 - 0.0509686909200696i
3.1,37.4375,-0.106666703169784 - 0.0568142889662135i
3.1,37.5,-0.10014783189792 - 0.0635759915912319i
3.1,37.5625,-0.0949321552387715 - 0.0711003417751729i
3.1,37.625,-0.0910723245838954 - 0.0792305613136644i
3.1,37.6875,-0.0886031683025068 - 0.0878087642218681i
3.1,37.75,-0.0875422666526748 - 0.0966780190462444i
3.1,37.8125,-0.0878907639428571 - 0.105684227103647i
3.1,37.875,-0.0896343746828722 - 0.114677793127081i
3.1,37.9375,-0.0927445398009137 - 0.123515073964053i
3.1,38,-0.0971796901195148 - 0.132059599451234i
3.1,38.0625,-0.102886576857617 - 0.140183067085185i
3.1,38.125,-0.109801632609567 - 0.147766118434443i
3.1,38.1875,-0.11785233069723 - 0.154698910301905i
3.1,38.25,-0.126958515673607 - 0.16088149744081i
3.1,38.3125,-0.137033682788922 - 0.166224046212952i
3.1,38.375,-0.147986189175217 - 0.170646900064513i
3.1,38.4375,-0.159720384176813 - 0.174080518225703i
3.1,38.5,-0.172137650517334 - 0.176465308775326i
3.1,38.5625,-0.185137351762307 - 0.177751376314233i
3.1,38.625,-0.198617684764426 - 0.177898203120472i
3.1,38.6875,-0.212476438455051 - 0.176874280958331i
3.1,38.75,-0.226611662485893 - 0.174656708810513i
3.1,38.8125,-0.240922250863818 - 0.171230769804212i
3.1,38.875,-0.255308446906649 - 0.166589498594402i
3.1,38.9375,-0.269672276633571 - 0.160733248518059i
3.1,39,-0.283917918147648 - 0.153669265990257i
3.1,39.0625,-0.297952014726656 - 0.145411277910599i
3.1,39.125,-0.311683939265705 - 0.135979096306601i
3.1,39.1875,-0.325026017459739 - 0.125398243069328i
3.1,39.25,-0.337893716719185 - 0.113699596437568i
3.1,39.3125,-0.350205807315143 - 0.100919059855742i
3.1,39.375,-0.361884501682763 - 0.0870972529593869i
3.1,39.4375,-0.372855577198619 - 0.0722792237192319i
3.1,39.5,-0.383048487110719 - 0.0565141801883003i
3.1,39.5625,-0.392396463654395 - 0.0398552398332174i
3.1,39.625,-0.400836616746295 - 0.0223591940784347i
3.1,39.6875,-0.408310031021439 - 0.0040862854382945i
3.1,39.75,-0.414761863371715 + 0.0149000055538951i
3.1,39.8125,-0.420141442563538 + 0.0345331664984581i
3.1,39.875,-0.424402371961149 + 0.0547438552605756i
3.1,39.9375,-0.427502635863294 + 0.0754601009335732i
3.1,40,-0.429404709476742 + 0.096607506388728i
3.1,40.0625,-0.430075672102395 + 0.11810945501755i
3.1,40.125,-0.429487322700267 + 0.139887324079407i
3.1,40.1875,-0.427616296630211 + 0.161860706834449i
3.1,40.25,-0.424444182037967 + 0.183947645373539i
3.1,40.3125,-0.419957634072655 + 0.206064875757785i
3.1,40.375,-0.414148484884586 + 0.228128086754607i
3.1,40.4375,-0.407013847162899 + 0.25005219311051i
3.1,40.5,-0.398556208833191 + 0.271751623937434i
3.1,40.5625,-0.38878351644733 + 0.293140626416006i
3.1,40.625,-0.377709244762148 + 0.31413358464122i
3.1,40.6875,-0.365352450021063 + 0.334645353060686i
3.1,40.75,-0.351737804522573 + 0.354591603589669i
3.1,40.8125,-0.336895610180149 + 0.373889185138354i
3.1,40.875,-0.320861788947343 + 0.39245649396181i
3.1,40.9375,-0.303677848195425 + 0.410213852950255i
3.1,41,-0.285390819383822 + 0.427083897722554i
3.1,41.0625,-0.266053168649417 + 0.442991967176226i
3.1,41.125,-0.245722678251374 + 0.457866495987887i
3.1,41.1875,-0.22446229813492 + 0.471639406453031i
3.1,41.25,-0.202339967210041 + 0.484246497006249i
3.1,41.3125,-0.179428404268644 + 0.495627824773292i
3.1,41.375,-0.155804868775016 + 0.505728079573487i
3.1,41.4375,-0.131550892047745 + 0.514496946912039i
3.1,41.5,-0.106751979595232 + 0.521889457670745i
3.1,41.5625,-0.0814972855609196 + 0.527866322414828i
3.1,41.625,-0.0558792603685631 + 0.53239424847241i
3.1,41.6875,-0.0299932727241463 + 0.535446238198974i
3.1,41.75,-0.00393720712342363 + 0.537001867096767i
3.1,41.8125,0.022188962071134 + 0.537047540701632i
3.1,41.875,0.0482836190835913 + 0.535576729358318i
3.1,41.9375,0.0742439770459059 + 0.532590180159682i
3.1,42,0.0999665698318266 + 0.528096105404239i
3.1,42.0625,0.125347765410749 + 0.52211034690871i
3.1,42.125,0.150284301131828 + 0.514656515376098i
3.1,42.1875,0.174673841769272 + 0.505766103745342i
3.1,42.25,0.198415561570161 + 0.495478573017384i
3.1,42.3125,0.221410751911361 + 0.483841408449859i
3.1,42.375,0.243563456451628 + 0.470910143228248i
3.1,42.4375,0.264781135809906 + 0.456748345752076i
3.1,42.5,0.284975363757334 + 0.441427565525556i
3.1,42.5625,0.304062556617418 + 0.425027231329985i
3.1,42.625,0.321964736961194 + 0.407634493910943i
3.1,42.6875,0.338610331694277 + 0.389344003885485i
3.1,42.75,0.353935003193492 + 0.370257614032145i
3.1,42.8125,0.367882510201037 + 0.350483993662902i
3.1,42.875,0.380405592674182 + 0.330138141510921i
3.1,42.9375,0.391466871689214 + 0.309340782648106i
3.1,43,0.401039751810029 + 0.288217634547512i
3.1,43.0625,0.409109309097065 + 0.266898527725814i
3.1,43.125,0.415673143247548 + 0.24551636765616i
3.1,43.1875,0.420742167387019 + 0.224205927051593i
3.1,43.25,0.424341304015989 + 0.203102461391112i
3.1,43.3125,0.42651005088101 + 0.182340145863354i
3.1,43.375,0.427302876498504 + 0.16205033883981i
3.1,43.4375,0.426789402201478 + 0.142359685561162i
3.1,43.5,0.42505432644824 + 0.123388085790299i
3.1,43.5625,0.422197048292025 + 0.105246560446631i
3.1,43.625,0.418330950891234 + 0.0880350641850218i
3.1,43.6875,0.41358231317227 + 0.0718403028106388i
3.1,43.75,0.408088828493553 + 0.0567336254279693i
3.1,43.8125,0.40199772339679 + 0.0427690702587939i
3.1,43.875,0.39546348693879 + 0.0299816490073161i
3.1,43.9375,0.388645240968347 + 0.0183859564117732i
3.1,44,0.381703802956766 + 0.0079751882782423i
3.1,44.0625,0.374798514170334 - 0.00127935776978275i
3.1,44.125,0.368083925401166 - 0.00942823954272299i
3.1,44.1875,0.361706448362323 - 0.0165432467169135i
3.1,44.25,0.355801091509456 - 0.0227161826369683i
3.1,44.3125,0.350488403084757 - 0.0280570657067966i
3.1,44.375,0.34587174070446 - 0.032691793655271i
3.1,44.4375,0.342034975602287 - 0.0367593418245334i
3.1,44.5,0.339040721209104 - 0.0404085910161205i
3.1,44.5625,0.336929151325322 - 0.0437948993110243i
3.1,44.625,0.335717444563482 - 0.0470765441036414i
3.1,44.6875,0.335399861243922 - 0.050411164470465i
3.1,44.75,0.335948428904634 - 0.0539523298084113i
3.1,44.8125,0.337314185302084 - 0.0578463490565589i
3.1,44.875,0.339428905130357 - 0.0622294170423657i
3.1,44.9375,0.342207220018248 - 0.0672251723222817i
3.1,45,0.345549031376067 - 0.0729427163131482i
3.1,45.0625,0.349342112396902 - 0.0794751185390448i
3.1,45.125,0.353464798428407 - 0.0868984092526869i
3.1,45.1875,0.35778867302755 - 0.0952710399792055i
3.1,45.25,0.362181169014103 - 0.104633775674922i
3.1,45.3125,0.36650801835721 - 0.115009969725237i
3.1,45.375,0.370635500409535 - 0.12640616501713i
3.1,45.4375,0.374432453649328 - 0.138812960542848i
3.1,45.5,0.377772030741152 - 0.152206082887668i
3.1,45.5625,0.380533189692588 - 0.166547604831768i
3.1,45.625,0.38260192475652 - 0.181787258402199i
3.1,45.6875,0.383872249359798 - 0.197863796328129i
3.1,45.75,0.384246949836736 - 0.214706363404284i
3.1,45.8125,0.383638133511597 - 0.232235847525962i
3.1,45.875,0.381967598587196 - 0.250366189983518i
3.1,45.9375,0.379167057963291 - 0.269005651482281i
3.1,46,0.375178251403052 - 0.288058085071564i
3.1,46.0625,0.369952837980303 - 0.307424539437758i
3.1,46.125,0.36344929421135 - 0.327005401132749i
3.1,46.1875,0.355632989543791 - 0.346686859274633i
3.1,46.25,0.346498797134831 - 0.366366010632997i
3.1,46.3125,0.336030193427288 - 0.385945048541929i
3.1,46.375,0.324223093983277 - 0.405318310569185i
3.1,46.4375,0.311083520968275 - 0.424382508160901i
3.1,46.5,0.296625527558063 - 0.443036642621562i
3.1,46.5625,0.280870700351748 - 0.461182206647339i
3.1,46.625,0.263847774115155 - 0.478723560297638i
3.1,46.6875,0.245592244779205 - 0.49556832001933i
3.1,46.75,0.226145975360998 - 0.511627724960818i
3.1,46.8125,0.205556796654323 - 0.526816973295472i
3.1,46.875,0.183878104004218 - 0.541055527894017i
3.1,46.9375,0.161168450801215 - 0.554267392160855i
3.1,47,0.137491138995921 - 0.566381356965626i
3.1,47.0625,0.112913806852262 - 0.57733121935292i
3.1,47.125,0.0875080142361694 - 0.587055973400987i
3.1,47.1875,0.0613488259158574 - 0.595499973326494i
3.1,47.25,0.0345143935882343 - 0.602613068733321i
3.1,47.3125,0.00708553761353698 - 0.608350711790106i
3.1,47.375,-0.0208546702877346 - 0.612674036093947i
3.1,47.4375,-0.0492213218638619 - 0.615549907030723i
3.1,47.5,-0.077928082947335 - 0.616950943567111i
3.1,47.5625,-0.106887597930086 - 0.616855511594731i
3.1,47.625,-0.136011886033774 - 0.615247689181371i
3.1,47.6875,-0.165212727224786 - 0.612117204355411i
3.1,47.75,-0.194402035592018 - 0.607459346345274i
3.1,47.8125,-0.223492218026363 - 0.601274851503708i
3.1,47.875,-0.252396516111518 - 0.59356976545547i
3.1,47.9375,-0.281029329253275 - 0.584355283305428i
3.1,48,-0.309306517236996 - 0.573647570022241i
3.1,48.0625,-0.337145680609238 - 0.561467563361652i
3.1,48.125,-0.364466417530355 - 0.547840761905144i
3.1,48.1875,-0.391190556039833 - 0.532797000958052i
3.1,48.25,-0.417242361014014 - 0.516370219170844i
3.1,48.3125,-0.442548715470635 - 0.498598218814304i
3.1,48.375,-0.46703927627718 - 0.479522422650456i
3.1,48.4375,-0.490646604735358 - 0.459187630294996i
3.1,48.5,-0.513306272925772 - 0.437641776863037i
3.1,48.5625,-0.534956947087413 - 0.414935696530574i
3.1,48.625,-0.555540449661326 - 0.391122893433134i
3.1,48.6875,-0.575001801935357 - 0.366259322067381i
3.1,48.75,-0.593289249481756 - 0.340403179068894i
3.1,48.8125,-0.610354272779712 - 0.313614707918624i
3.1,48.875,-0.626151585562798 - 0.285956017790233i
3.1,48.9375,-0.640639123530434 - 0.257490917397639i
3.1,49,-0.65377802611717 - 0.228284764342863i
3.1,49.0625,-0.665532614027612 - 0.198404330102707i
3.1,49.125,-0.675870365220813 - 0.167917680432716i
3.1,49.1875,-0.684761891967533 - 0.13689407061039i
3.1,49.25,-0.692180921507452 - 0.105403854589271i
3.1,49.3125,-0.69810428270093 - 0.0735184067934562i
3.1,49.375,-0.702511900900741 - 0.0413100549508159i
3.1,49.4375,-0.705386803062396 - 0.00885202204527806i
3.1,49.5,-0.706715134866467 + 0.0237816248323455i
3.1,49.5625,-0.706486191342008 + 0.0565160212361877i
3.1,49.625,-0.704692462156199 + 0.0892755504768439i
3.1,49.6875,-0.701329692371654 + 0.12198389007602i
3.1,49.75,-0.696396959069608 + 0.154564062738973i
3.1,49.8125,-0.689896763795374 + 0.186938495169838i
3.1,49.875,-0.681835140303748 + 0.219029088156878i
3.1,49.9375,-0.672221776569149 + 0.250757301401419i
3.1,50,-0.661070149482259 + 0.28204425654716i
3.2,25,0.616491671525403 - 0.710200723355028i
3.2,25.0625,0.586455279048368 - 0.73626376025877i
3.2,25.125,0.5552445818197 - 0.760881820313108i
3.2,25.1875,0.522955362967179 - 0.784009840182363i
3.2,25.25,0.489681902487938 - 0.80561150553386i
3.2,25.3125,0.45551611580907 - 0.825658259358045i
3.2,25.375,0.420546945655121 - 0.84412826523353i
3.2,25.4375,0.384859990012341 - 0.86100537935307i
3.2,25.5,0.348537339524429 - 0.876278175358304i
3.2,25.5625,0.31165759165885 - 0.889939055371677i
3.2,25.625,0.27429600615191 - 0.90198347004087i
3.2,25.6875,0.2365247660744 - 0.912409260661814i
3.2,25.75,0.198413310757673 - 0.921216128006375i
3.2,25.8125,0.160028710168089 - 0.92840522560485i
3.2,25.875,0.121436054549 - 0.933978869986584i
3.2,25.9375,0.0826988377829596 - 0.93794035668831i
3.2,26,0.0438793175849988 - 0.940293868530704i
3.2,26.0625,0.00503884004623295 - 0.94104446152048i
3.2,26.125,-0.0337618799730649 - 0.940198113522644i
3.2,26.1875,-0.0724625276506453 - 0.937761821336796i
3.2,26.25,-0.111003008375145 - 0.933743732796791i
3.2,26.3125,-0.149323319125426 - 0.928153301818811i
3.2,26.375,-0.187363469095519 - 0.921001455806477i
3.2,26.4375,-0.225063446271049 - 0.912300766372488i
3.2,26.5,-0.262363225734876 - 0.902065615872667i
3.2,26.5625,-0.299202814892216 - 0.890312353713086i
3.2,26.625,-0.335522330496871 - 0.877059437746802i
3.2,26.6875,-0.371262102273326 - 0.862327557302082i
3.2,26.75,-0.406362798015768 - 0.846139735468355i
3.2,26.8125,-0.4407655652603 - 0.828521409208232i
3.2,26.875,-0.474412184936804 - 0.809500486667127i
3.2,26.9375,-0.507245232781229 - 0.789107381724373i
3.2,27,-0.539208244704791 - 0.767375026380708i
3.2,27.0625,-0.570245882754033 - 0.744338862017701i
3.2,27.125,-0.60030409874034 - 0.720036810906134i
3.2,27.1875,-0.629330293057647 - 0.694509229593731i
3.2,27.25,-0.657273466633601 - 0.667798845978517i
3.2,27.3125,-0.684084364365971 - 0.639950681982562i
3.2,27.375,-0.709715608777435 - 0.611011963791122i
3.2,27.4375,-0.734121822974761 - 0.581032021622954i
3.2,27.5,-0.757259742320215 - 0.550062180956784i
3.2,27.5625,-0.779088314512895 - 0.518155647063371i
3.2,27.625,-0.799568788034394 - 0.485367384589544i
3.2,27.6875,-0.818664789137325 - 0.451753993815142i
3.2,27.75,-0.836342387747006 - 0.417373585061871i
3.2,27.8125,-0.852570152807076 - 0.382285652579242i
3.2,27.875,-0.867319197730372 - 0.346550949071072i
3.2,27.9375,-0.880563216718505 - 0.310231361860599i
3.2,28,-0.892278512789058 - 0.273389791526042i
3.2,28.0625,-0.902444018400181 - 0.236090033674344i
3.2,28.125,-0.911041309590514 - 0.198396664361364i
3.2,28.1875,-0.918054614559935 - 0.160374929513799i
3.2,28.25,-0.923470817605736 - 0.12209063856348i
3.2,28.3125,-0.927279459301606 - 0.0836100623691582i
3.2,28.375,-0.929472733765001 - 0.044999835376724i
3.2,28.4375,-0.930045483804494 - 0.00632686185501703i
3.2,28.5,-0.928995194673992 + 0.0323417740568472i
3.2,28.5625,-0.926321987087254 + 0.0709388948440635i
3.2,28.625,-0.922028610065535 + 0.109397313083092i
3.2,28.6875,-0.916120434104957 + 0.147649912376017i
3.2,28.75,-0.908605445059706 + 0.185629726299704i
3.2,28.8125,-0.899494239043817 + 0.223270015957544i
3.2,28.875,-0.888800018559179 + 0.260504346750064i
3.2,28.9375,-0.876538589961612 + 0.29726666499772i
3.2,29,-0.862728362281477 + 0.333491375055238i
3.2,29.0625,-0.847390347321116 + 0.369113417551939i
3.2,29.125,-0.830548160859412 + 0.404068349377425i
3.2,29.1875,-0.812228024704612 + 0.438292426006949i
3.2,29.25,-0.792458769251191 + 0.471722686726034i
3.2,29.3125,-0.771271836115426 + 0.504297043270426i
3.2,29.375,-0.74870128034848 + 0.535954372344927i
3.2,29.4375,-0.724783771655652 + 0.566634612424172i
3.2,29.5,-0.699558593986746 + 0.596278865170216i
3.2,29.5625,-0.673067642806074 + 0.624829501726244i
3.2,29.625,-0.645355419301872 + 0.652230274063722i
3.2,29.6875,-0.616469020754759 + 0.678426431472226i
3.2,29.75,-0.586458126253748 + 0.703364842187851i
3.2,29.8125,-0.555374976927292 + 0.726994120058002i
3.2,29.875,-0.523274349845635 + 0.749264756039059i
3.2,29.9375,-0.490213524751284 + 0.770129254218666i
3.2,30,-0.456252242785785 + 0.789542271948474i
3.2,30.0625,-0.421452656404605 + 0.807460763566411i
3.2,30.125,-0.385879269707807 + 0.823844127081425i
3.2,30.1875,-0.349598868462587 + 0.838654353089486i
3.2,30.25,-0.312680439154644 + 0.851856175088969i
3.2,30.3125,-0.275195076478993 + 0.863417220267506i
3.2,30.375,-0.237215878766739 + 0.87330815974293i
3.2,30.4375,-0.198817830942076 + 0.881502857159378i
3.2,30.5,-0.16007767471296 + 0.887978514467594i
3.2,30.5625,-0.121073765818489 + 0.892715813657558i
3.2,30.625,-0.0818859182848424 + 0.895699053163358i
3.2,30.6875,-0.0425952357787743 + 0.896916277625982i
3.2,30.75,-0.00328393029101984 + 0.896359399680875i
3.2,30.8125,0.0359648714696502 + 0.894024312434772i
3.2,30.875,0.0750673334399368 + 0.889910991311409i
3.2,30.9375,0.113939126639583 + 0.884023583978974i
3.2,31,0.152495655849319 + 0.876370487123933i
3.2,31.0625,0.190652295549409 + 0.866964408906401i
3.2,31.125,0.228324633999432 + 0.855822416021184i
3.2,31.1875,0.265428724209303 + 0.842965964395525i
3.2,31.25,0.301881340432296 + 0.828420912678552i
3.2,31.3125,0.337600238705645 + 0.812217517817025i
3.2,31.375,0.372504419874764 + 0.794390412165906i
3.2,31.4375,0.40651439346629 + 0.774978561748007i
3.2,31.5,0.439552440723491 + 0.754025205453025i
3.2,31.5625,0.471542875087899 + 0.731577775149181i
3.2,31.625,0.502412298403401 + 0.707687796868506i
3.2,31.6875,0.532089851134908 + 0.682410773415894i
3.2,31.75,0.560507454932875 + 0.655806048939822i
3.2,31.8125,0.587600045937738 + 0.627936656185658i
3.2,31.875,0.613305797303918 + 0.598869147327601i
3.2,31.9375,0.637566329530387 + 0.568673409439762i
3.2,32,0.660326907312678 + 0.537422465817454i
3.2,32.0625,0.681536621777672 + 0.505192264493825i
3.2,32.125,0.701148557125242 + 0.472061455412248i
3.2,32.1875,0.71911994087751 + 0.438111157809137i
3.2,32.25,0.735412277124264 + 0.403424719433138i
3.2,32.3125,0.749991462348788 + 0.368087469274189i
3.2,32.375,0.762827883619115 + 0.332186465498073i
3.2,32.4375,0.773896499132156 + 0.295810240278813i
3.2,32.5,0.783176901298892 + 0.259048543192439i
3.2,32.5625,0.790653362755007 + 0.221992084781225i
3.2,32.625,0.796314865869504 + 0.18473228181881i
3.2,32.6875,0.800155116501248 + 0.14736100570419i
3.2,32.75,0.802172542917237 + 0.109970335288106i
3.2,32.8125,0.802370280934117 + 0.0726523152905569i
3.2,32.875,0.800756146473812 + 0.0354987213047409i
3.2,32.9375,0.797342596833059 - 0.00139916779685167i
3.2,33,0.792146682053388 - 0.0379507894326689i
3.2,33.0625,0.785189987841175 - 0.074066508442415i
3.2,33.125,0.776498571525439 - 0.109657819576685i
3.2,33.1875,0.766102892553057 - 0.144637541367232i
3.2,33.25,0.75403773900614 - 0.178920001625878i
3.2,33.3125,0.740342151583455 - 0.212421215049312i
3.2,33.375,0.72505934641656 - 0.245059053635741i
3.2,33.4375,0.708236637990803 - 0.276753410845691i
3.2,33.5,0.68992536331095 - 0.307426360660634i
3.2,33.5625,0.670180808290288 - 0.337002312906652i
3.2,33.625,0.649062137149551 - 0.365408166413834i
3.2,33.6875,0.626632325387385 - 0.392573461772175i
3.2,33.75,0.602958096626094 - 0.418430535618195i
3.2,33.8125,0.578109863344177 - 0.442914678539639i
3.2,33.875,0.552161671179761 - 0.465964298813937i
3.2,33.9375,0.525191146125495 - 0.487521094294557i
3.2,34,0.497279443535179 - 0.507530234822099i
3.2,34.0625,0.468511197425249 - 0.52594055755691i
3.2,34.125,0.438974468080607 - 0.542704777599163i
3.2,34.1875,0.408760685465667 - 0.557779716171582i
3.2,34.25,0.377964585400682 - 0.571126548478678i
3.2,34.3125,0.346684134895065 - 0.582711073112979i
3.2,34.375,0.315020442440184 - 0.592504004540372i
3.2,34.4375,0.283077648463913 - 0.60048128974963i
3.2,34.5,0.250962790551362 - 0.606624449581193i
3.2,34.5625,0.218785637457325 - 0.61092094454317i
3.2,34.625,0.186658485399303 - 0.613364564064639i
3.2,34.6875,0.1546959096517 - 0.613955837116135i
3.2,34.75,0.123014464095915 - 0.612702460936099i
3.2,34.8125,0.0917323211566001 - 0.60961974323601i
3.2,34.875,0.0609688445165329 - 0.604731051718903i
3.2,34.9375,0.030844087202005 - 0.598068263047338i
3.2,35,0.00147820812259587 - 0.589672201560626i
3.2,35.0625,-0.0270091990088521 - 0.579593056103704i
3.2,35.125,-0.0544998692010294 - 0.56789076134424i
3.2,35.1875,-0.0808777252683232 - 0.554635327991534i
3.2,35.25,-0.106029833372891 - 0.539907104481353i
3.2,35.3125,-0.129847453170857 - 0.523796951066147i
3.2,35.375,-0.152227177410655 - 0.506406305980887i
3.2,35.4375,-0.173072152006997 - 0.487847122587583i
3.2,35.5,-0.192293363317514 - 0.46824165629478i
3.2,35.5625,-0.209810974678599 - 0.447722080763081i
3.2,35.625,-0.225555689357933 - 0.426429914597804i
3.2,35.6875,-0.239470112150173 - 0.404515242527784i
3.2,35.75,-0.251510077126038 - 0.382135719070774i
3.2,35.8125,-0.261645904834916 - 0.35945534793252i
3.2,35.875,-0.269863548881725 - 0.336643036848876i
3.2,35.9375,-0.276165589590773 - 0.313870935142887i
3.2,36,-0.280572031765835 - 0.29131256971899i
3.2,36.0625,-0.283120864653687 - 0.269140804240674i
3.2,36.125,-0.28386834534711 - 0.247525655425857i
3.2,36.1875,-0.282888972152413 - 0.226632009253172i
3.2,36.25,-0.280275121896143 - 0.206617287854595i
3.2,36.3125,-0.276136334606108 - 0.187629124407529i
3.2,36.375,-0.270598240161964 - 0.169803107890241i
3.2,36.4375,-0.263801133902321 - 0.15326066166107i
3.2,36.5,-0.255898221193465 - 0.138107119119809i
3.2,36.5625,-0.247053563903755 - 0.124430056031307i
3.2,36.625,-0.237439773832077 - 0.112297932455957i
3.2,36.6875,-0.227235508663267 - 0.101759087868871i
3.2,36.75,-0.216622834297402 - 0.0928411213934965i
3.2,36.8125,-0.205784522886844 - 0.0855506757375045i
3.2,36.875,-0.194901358262479 - 0.0798736291417221i
3.2,36.9375,-0.184149519502352 - 0.075775685250581i
3.2,37,-0.173698109283686 - 0.0732033371028729i
3.2,37.0625,-0.163706886671395 - 0.0720851691780795i
3.2,37.125,-0.154324254627238 - 0.0723334512467537i
3.2,37.1875,-0.145685541405127 - 0.0738459701242028i
3.2,37.25,-0.137911602841017 - 0.0765080405799063i
3.2,37.3125,-0.131107760078502 - 0.0801946346720245i
3.2,37.375,-0.125363075181614 - 0.0847725695273977i
3.2,37.4375,-0.120749955972218 - 0.0901026967803497i
3.2,37.5,-0.117324071764211 - 0.0960420421034593i
3.2,37.5625,-0.11512455377838 - 0.102445850018127i
3.2,37.625,-0.114174448088537 - 0.109169496939208i
3.2,37.6875,-0.11448138500826 - 0.116070243674101i
3.2,37.75,-0.116038426792977 - 0.123008806895711i
3.2,37.8125,-0.118825055222245 - 0.129850737044109i
3.2,37.875,-0.122808261792373 - 0.136467597371858i
3.2,37.9375,-0.127943705601392 - 0.142737945211649i
3.2,38,-0.134176907245482 - 0.148548121878497i
3.2,38.0625,-0.141444450875369 - 0.153792861867697i
3.2,38.125,-0.14967517071544 - 0.158375735185925i
3.2,38.1875,-0.158791302595695 - 0.162209438819848i
3.2,38.25,-0.16870958519776 - 0.16521595460498i
3.2,38.3125,-0.179342299625046 - 0.167326591230645i
3.2,38.375,-0.19059823947017 - 0.168481927939106i
3.2,38.4375,-0.20238360670413 - 0.168631676783327i
3.2,38.5,-0.214602831418594 - 0.167734479226919i
3.2,38.5625,-0.227159315708414 - 0.165757651518581i
3.2,38.625,-0.239956103800358 - 0.162676891753501i
3.2,38.6875,-0.252896481944545 - 0.158475959931629i
3.2,38.75,-0.265884512625859 - 0.153146340706448i
3.2,38.8125,-0.278825508367162 - 0.146686896941788i
3.2,38.875,-0.291626450830527 - 0.13910352069777i
3.2,38.9375,-0.304196361121745 - 0.130408786877586i
3.2,39,-0.316446627210157 - 0.120621613501649i
3.2,39.0625,-0.328291294229077 - 0.109766931443358i
3.2,39.125,-0.339647323156789 - 0.0978753654638144i
3.2,39.1875,-0.350434823024217 - 0.0849829275185031i
3.2,39.25,-0.360577261378544 - 0.0711307225716565i
3.2,39.3125,-0.370001657273452 - 0.0563646665349987i
3.2,39.375,-0.378638760573505 - 0.0407352154379107i
3.2,39.4375,-0.386423220866096 - 0.0242971045250884i
3.2,39.5,-0.393293748780189 - 0.00710909565576015i
3.2,39.5625,-0.399193272024672 + 0.0107662688645071i
3.2,39.625,-0.404069087986525 + 0.0292629080615542i
3.2,39.6875,-0.407873014274704 + 0.0483114418338085i
3.2,39.75,-0.410561538162161 + 0.0678394304685628i
3.2,39.8125,-0.412095965468253 + 0.0877716163557713i
3.2,39.875,-0.412442569037668 + 0.108030170091208i
3.2,39.9375,-0.411572736610888 + 0.128534943094373i
3.2,40,-0.409463117545291 + 0.149203728768554i
3.2,40.0625,-0.406095767535239 + 0.169952534105182i
3.2,40.125,-0.401458290193947 + 0.190695863485466i
3.2,40.1875,-0.395543974099016 + 0.21134701626258i
3.2,40.25,-0.388351923667126 + 0.231818399520372i
3.2,40.3125,-0.379887182010678 + 0.252021857202357i
3.2,40.375,-0.370160843739726 + 0.271869016590068i
3.2,40.4375,-0.359190155505113 + 0.291271652885525i
3.2,40.5,-0.346998601932433 + 0.310142072420144i
3.2,40.5625,-0.333615974469507 + 0.328393514774559i
3.2,40.625,-0.319078420560838 + 0.34594057385187i
3.2,40.6875,-0.303428470468461 + 0.362699637702345i
3.2,40.75,-0.286715038977374 + 0.378589346651202i
3.2,40.8125,-0.268993399151668 + 0.393531069033507i
3.2,40.875,-0.250325125241782 + 0.407449393589959i
3.2,40.9375,-0.230778001779415 + 0.420272637323661i
3.2,41,-0.210425895831345 + 0.431933367357127i
3.2,41.0625,-0.18934858931248 + 0.442368935056706i
3.2,41.125,-0.167631568178644 + 0.451522020401997i
3.2,41.1875,-0.145365765228378 + 0.459341184262376i
3.2,41.25,-0.122647253139058 + 0.465781425891402i
3.2,41.3125,-0.0995768842465297 + 0.470804742549906i
3.2,41.375,-0.0762598734528415 + 0.474380687705429i
