"patch_W [mm]","Freq [GHz]","S(1,1) []"
2.5,29.75,-0.613331035777757 + 0.686997601248839i
2.5,29.8125,-0.583055825901731 + 0.711899834849367i
2.5,29.875,-0.551715489155078 + 0.73548527842894i
2.5,29.9375,-0.519365763394948 + 0.757705553057471i
2.5,30,-0.48606475387364 + 0.778514480670588i
2.5,30.0625,-0.45187286098647 + 0.797868210971288i
2.5,30.125,-0.416852700450965 + 0.815725347472638i
2.5,30.1875,-0.381069015728161 + 0.832047072175799i
2.5,30.25,-0.344588582533598 + 0.84679726834554i
2.5,30.3125,-0.307480105326796 + 0.859942640815809i
2.5,30.375,-0.269814105712936 + 0.871452833231732i
2.5,30.4375,-0.231662802739167 + 0.881300541611881i
2.5,30.5,-0.193099985120168 + 0.889461623596346i
