trajectory,system,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
Half-Circular,Without Lens,0,37,,0.0,Simul_+2,17.9,5.94,-90.0,0.0,5.51091059616309e-16,-9.0,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_+1,18.1,5.99,-90.0,0.0,5.51091059616309e-16,-9.0,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_0,18.0,5.98,-90.0,0.0,5.51091059616309e-16,-9.0,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_-1,17.8,5.91,-90.0,0.0,5.51091059616309e-16,-9.0,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_-2,17.7,5.87,-90.0,0.0,5.51091059616309e-16,-9.0,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_-3,17.8,5.89,-90.0,0.0,5.51091059616309e-16,-9.0,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_-4,17.9,5.92,-90.0,0.0,5.51091059616309e-16,-9.0,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_+4,17.8,5.91,-85.0,0.7853981633974483,0.7844016847289232,-8.96575228282571,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_+3,17.9,5.95,-85.0,0.7853981633974483,0.7844016847289232,-8.96575228282571,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_+2,18.0,5.98,-85.0,0.7853981633974483,0.7844016847289232,-8.96575228282571,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_+1,18.1,6.0,-85.0,0.7853981633974483,0.7844016847289232,-8.96575228282571,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_0,18.0,6.0,-85.0,0.7853981633974483,0.7844016847289232,-8.96575228282571,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_-1,17.9,5.95,-85.0,0.7853981633974483,0.7844016847289232,-8.96575228282571,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_-2,17.9,5.93,-85.0,0.7853981633974483,0.7844016847289232,-8.96575228282571,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_-3,18.0,5.98,-85.0,0.7853981633974483,0.7844016847289232,-8.96575228282571,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_-4,18.1,6.01,-85.0,0.7853981633974483,0.7844016847289232,-8.96575228282571,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_+4,17.9,5.96,-80.0,1.5707963267948966,1.5628335990023738,-8.863269777109872,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_+3,17.8,5.91,-80.0,1.5707963267948966,1.5628335990023738,-8.863269777109872,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_+2,17.7,5.9,-80.0,1.5707963267948966,1.5628335990023738,-8.863269777109872,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_+1,17.9,5.94,-80.0,1.5707963267948966,1.5628335990023738,-8.863269777109872,2.0
