scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_+0deg,0,109.43999481,109.43999481,0.00000000,-0.30864710
Simul_+0deg,0,109.79998779,109.79998779,0.00000000,-1.44794869
Simul_+0deg,0,110.15999603,110.15999603,0.00000000,-2.47161531
Simul_+0deg,0,110.51999664,110.51999664,0.00000000,-3.24438620
Simul_+0deg,0,110.87999725,110.87999725,0.00000000,-4.02926064
Simul_+0deg,0,111.23999023,111.23999023,0.00000000,-4.80124426
Simul_+0deg,0,111.59999084,111.59999084,0.00000000,-5.51950979
Simul_+0deg,0,111.95999908,111.95999908,0.00000000,-6.12523842
Simul_+0deg,0,112.31999207,112.31999207,0.00000000,-6.22262955
Simul_+0deg,0,112.67999268,112.67999268,0.00000000,-6.23780251
Simul_+0deg,0,113.03999329,113.03999329,0.00000000,-6.22097540
Simul_+0deg,0,113.39999390,113.39999390,0.00000000,-6.17251778
Simul_+0deg,0,113.75999451,113.75999451,0.00000000,-6.09347153
Simul_+0deg,0,114.11999512,114.11999512,0.00000000,-6.05779362
Simul_+0deg,0,114.47999573,114.47999573,0.00000000,-6.14583111
Simul_+0deg,0,114.83999634,114.83999634,0.00000000,-6.21557283
Simul_+0deg,0,115.19999695,115.19999695,0.00000000,-6.26610231
Simul_+0deg,0,115.55998993,115.55998993,0.00000000,-6.29672575
Simul_+0deg,0,115.91999817,115.91999817,0.00000000,-6.30702019
Simul_+0deg,0,116.27999115,116.27999115,0.00000000,-6.54000473
Simul_+0deg,0,116.63999176,116.63999176,0.00000000,-6.78381968
Simul_+0deg,0,117.00000000,117.00000000,0.00000000,-6.95300484
Simul_+0deg,0,117.35999298,117.35999298,0.00000000,-7.03811264
Simul_+0deg,0,117.72000122,117.72000122,0.00000000,-7.03408766
Simul_+0deg,0,118.07998657,118.07998657,0.00000000,-7.01724148
Simul_+0deg,0,118.43999481,118.43999481,0.00000000,-7.17943001
Simul_+0deg,0,118.79998779,118.79998779,0.00000000,-7.24706554
Simul_+0deg,0,119.15999603,119.15999603,0.00000000,-7.21566153
Simul_+0deg,0,119.51999664,119.51999664,0.00000000,-7.08731890
Simul_+0deg,0,119.87998962,119.87998962,0.00000000,-6.87029123
Simul_+0deg,0,120.23999786,120.23999786,0.00000000,-6.82968807
Simul_+0deg,0,120.59999084,120.59999084,0.00000000,-6.85744715
Simul_+0deg,0,120.95999146,120.95999146,0.00000000,-6.82890844
Simul_+0deg,0,121.31999969,121.31999969,0.00000000,-6.74516296
Simul_+0deg,0,121.67999268,121.67999268,0.00000000,-6.60933018
